,State,Year,Population
190,Alabama,2020,4921532
69,Alaska,2020,731158
432,Arizona,2020,7421401
311,Arkansas,2020,3030522
553,California,2020,39368078
674,Colorado,2020,5807719
795,Connecticut,2020,3557006
1037,Delaware,2020,986809
1158,Florida,2020,21733312
1279,Georgia,2020,10710017
1350,Hawaii,2020,1407006
1592,Idaho,2020,1826913
1713,Illinois,2020,12587530
1834,Indiana,2020,6754953
1471,Iowa,2020,3163561
1955,Kansas,2020,2913805
2076,Kentucky,2020,4477251
2197,Louisiana,2020,4645318
2560,Maine,2020,1350141
2439,Maryland,2020,6055802
2318,Massachusetts,2020,6893574
2681,Michigan,2020,9966555
2802,Minnesota,2020,5657342
3044,Mississippi,2020,2966786
2923,Missouri,2020,6151548
3165,Montana,2020,1080577
3528,Nebraska,2020,1937552
4012,Nevada,2020,3138259
3649,New Hampshire,2020,1366275
3770,New Jersey,2020,8882371
3891,New Mexico,2020,2106319
4133,New York,2020,19336776
3286,North Carolina,2020,10600823
3407,North Dakota,2020,765309
4254,Ohio,2020,11693217
4375,Oklahoma,2020,3980783
4496,Oregon,2020,4241507
4617,Pennsylvania,2020,12783254
4738,Rhode Island,2020,1057125
4859,South Carolina,2020,5218040
4980,South Dakota,2020,892717
5101,Tennessee,2020,6886834
5222,Texas,2020,29360759
5343,Utah,2020,3249879
5585,Vermont,2020,623347
5464,Virginia,2020,8590563
5706,Washington,2020,7693612
5948,West Virginia,2020,1784787
5827,Wisconsin,2020,5832655
6069,Wyoming,2020,582328
