,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate
0,Alabama,1/12/21,407848,5573,211684,190591,8318.021857,1981019,1.366440439,40402.69743
1,Alaska,1/12/21,50544,225,7165,43132,6906.20536,1357708,0.44535054,185594.5977
2,Arizona,1/12/21,636100,10482,86757,538861,8739.177523,5742443,1.647854111,42806.22533
3,Arkansas,1/12/21,259553,4121,229700,25732,8600.724235,2208736,1.587729674,73190.17405
4,California,1/12/21,2832085,31345,,2773506,7098.216165,36508384,1.110899955,92397.69678
5,Colorado,1/12/21,364336,5242,19328,339766,6326.66613,4821636,1.438781784,83727.33183
6,Connecticut,1/12/21,217047,6449,9800,200798,6087.784798,4771175,2.971245859,133823.0274
7,Delaware,1/12/21,66446,1157,18851,46604,6823.624615,1073700,1.491436655,110262.8563
8,Florida,1/12/21,1503482,23227,,1480255,7000.188148,17031970,1.544880484,79300.57994
9,Georgia,1/12/21,773692,11662,,762030,7287.003635,5737862,1.507318158,54041.94596
10,Hawaii,1/12/21,24261,309,11958,11590,1684.89807,878074,1.291079812,62016.48172
11,Idaho,1/12/21,151273,1556,66796,82921,8464.885161,564715,1.028603915,31600.13766
12,Illinois,1/12/21,1040168,19497,,1020671,8208.512415,14263477,1.874408749,112560.5941
13,Indiana,1/12/21,570477,10271,370456,190917,8473.83307,6175128,1.595857502,91725.00182
14,Iowa,1/12/21,299255,4222,258758,36275,9484.89257,1201471,1.410836912,38080.6448
15,Kansas,1/12/21,249803,3248,4896,240502,8534.816364,1066516,1.306274784,36608.34363
16,Kentucky,1/12/21,308728,2944,39200,266584,6910.264023,3343361,0.953590215,74834.50557
17,Louisiana,1/12/21,352939,7971,280373,64595,7592.055058,4508788,2.258463927,96988.33719
18,Maine,1/12/21,30326,449,11768,18109,2256.042946,1203694,1.480577722,89546.44059
19,Maryland,1/12/21,312351,6367,9434,296550,5166.515595,6220019,2.038411915,102883.6955
20,Massachusetts,1/12/21,442529,13273,293522,135734,6420.439715,11844709,2.999351455,171849.1671
21,Michigan,1/12/21,570150,14296,415079,140775,5709.003343,8624043,2.507410331,86353.92496
22,Minnesota,1/12/21,438867,5792,418610,14465,7781.837538,5714994,1.319762024,101336.2929
23,Mississippi,1/12/21,241957,5284,198888,37785,8129.868498,1464883,2.183859115,49220.75474
24,Missouri,1/12/21,486456,6383,,432331,7147.342502,3844238,1.443477111,62635.97716
25,Montana,1/12/21,87077,1067,81183,4827,8147.342105,851594,1.225352274,79679.22244
26,Nebraska,1/12/21,177670,1791,122564,53315,9184.722148,1861366,1.008048629,96224.06442
27,Nevada,1/12/21,252842,3546,,249296,8208.740077,2254748,1.40245687,73202.39624
28,New Hampshire,1/12/21,54516,878,46031,6240,3846.920412,1104602,1.661345518,81237.99837
29,New Jersey,1/12/21,594749,20039,60328,514382,6695.972502,8469406,3.369320503,95352.67766
30,New Mexico,1/12/21,157974,2794,80580,74600,7533.94769,2113785,1.768645473,100808.6496
31,New York,1/12/21,1164562,40020,111141,1013401,5986.369282,27721577,3.436485133,142501.2983
32,North Carolina,1/12/21,635975,7638,521475,106862,6063.786293,7727649,1.200990605,73680.27373
33,North Dakota,1/12/21,94968,1363,91850,1755,12461.97816,1282799,1.435220285,168332.6291
34,Ohio,1/12/21,792938,15202,648724,134412,6783.567597,8225635,1.236162222,70370.13115
35,Oklahoma,1/12/21,337900,2804,294629,40024,8528.164599,2864080,0.83092068,72380.61639
36,Oregon,1/12/21,127780,1667,5870,120243,3029.586719,2839839,1.304586007,67330.86961
37,Pennsylvania,1/12/21,737994,18045,542737,177212,5764.682347,8198497,2.44514183,32312.08057
38,Rhode Island,1/12/21,101393,2109,6042,93381,9571.147135,2179821,1.942934917,205767.5334
39,South Carolina,1/12/21,359357,5860,166724,186773,6979.54868,3498188,1.630690372,67942.94653
40,South Dakota,1/12/21,103743,1585,97407,4751,11726.89138,385382,1.527813925,43562.7739
41,Tennessee,1/12/21,660874,8011,579345,73518,9677.217186,5986016,1.212182655,87653.58739
42,Texas,1/12/21,2014645,30895,1595600,388150,6948.038585,15031531,1.533520794,51840.22862
43,Utah,1/12/21,309629,1422,253415,54792,9657.924402,2394548,0.459259307,74690.56051
44,Vermont,1/12/21,9247,158,6226,2863,1481.917149,767325,1.708662269,122970.9178
45,Virginia,1/12/21,407947,5477,33562,368908,4779.404744,4640967,1.342576364,54372.40547
46,Washington,1/12/21,278544,3789,,274755,3657.884622,4087531,1.360287782,53678.11472
47,West Virginia,1/12/21,103203,1634,72992,28577,5758.623595,1684532,1.583287308,93995.19124
48,Wisconsin,1/12/21,555249,5633,477460,72156,9536.372589,5644935,1.014499801,96951.46394
49,Wyoming,1/12/21,48072,522,45223,2327,8306.047941,536070,1.085871193,92624.04559
50,Alabama,1/13/21,410995,5760,211684,193551,8382.204628,1989724,1.401476904,40580.23509
51,Alaska,1/13/21,50840,226,7165,43425,6946.394275,1370835,0.444741814,187389.0191
52,Arizona,1/13/21,641729,10673,87672,543384,8816.51258,5788321,1.663163111,43025.92064
53,Arkansas,1/13/21,262020,4186,229700,28134,8682.47242,2208736,1.59758797,73190.17405
54,California,1/13/21,2870104,31871,,2811378,7195.39875,36842651,1.114432256,93243.68057
55,Colorado,1/13/21,366774,5285,19457,342032,6369.001809,4856955,1.440941833,84340.6435
56,Connecticut,1/13/21,220576,6536,9800,204240,6186.767012,4828069,2.963151023,135418.8036
57,Delaware,1/13/21,67173,1166,18851,47328,6898.283362,1081445,1.479761214,111058.2236
58,Florida,1/13/21,1517472,23396,,1494076,7065.325365,17148040,1.541774741,79841.00001
59,Georgia,1/13/21,782288,11803,,770485,7367.964901,5763974,1.508779375,54287.88134
60,Hawaii,1/13/21,24352,312,11958,11680,1691.46646,882893,1.298592843,62356.83734
61,Idaho,1/13/21,152364,1564,67633,83167,8525.934983,566225,1.026489197,31684.63374
62,Illinois,1/13/21,1046030,19617,,1026413,8254.772538,14339584,1.875376423,113161.1944
63,Indiana,1/13/21,574119,10334,372444,192512,8527.931132,6220087,1.596010583,92392.82026
64,Iowa,1/13/21,301161,4232,260557,36372,9545.303274,1205222,1.405228433,38199.53282
65,Kansas,1/13/21,254104,3347,5026,244621,8683.924905,1083932,1.321396103,37206.1508
66,Kentucky,1/13/21,313281,2991,39723,270567,7012.173899,3366855,0.954733929,75360.37217
67,Louisiana,1/13/21,355835,8022,298614,49199,7654.350784,4527858,2.25441567,97398.55111
68,Maine,1/13/21,31150,453,11809,18888,2317.3428,1214698,1.454253612,90365.06146
69,Maryland,1/13/21,314867,6404,9439,299024,5208.132088,6254353,2.03387462,103451.6051
70,Massachusetts,1/13/21,448447,13359,293522,141566,6506.301122,11944985,2.978947345,173304.0232
71,Michigan,1/13/21,573278,14336,415079,143863,5740.324509,8665671,2.500706464,86770.7528
72,Minnesota,1/13/21,440354,5842,419139,15373,7808.204507,5733978,1.326659915,101672.9106
73,Mississippi,1/13/21,243899,5315,198888,39696,8195.120607,1466825,2.179180726,49286.00685
74,Missouri,1/13/21,489319,6411,,434490,7182.960028,3859023,1.442444011,62876.87611
75,Montana,1/13/21,87653,1069,81676,4908,8201.23543,855069,1.21958176,80004.36012
76,Nebraska,1/13/21,179199,1803,120700,56696,9263.764418,1874707,1.006144008,96913.73278
77,Nevada,1/13/21,253985,3596,,250389,8245.848587,2268691,1.415831644,73655.06812
78,New Hampshire,1/13/21,55378,885,46633,6607,3980.625295,1112047,1.635103926,81785.54119
79,New Jersey,1/13/21,602629,20161,60769,521699,6784.689362,8477286,3.345507767,95441.39452
80,New Mexico,1/13/21,159119,2807,81603,74709,7588.553955,2124990,1.764088512,101343.028
81,New York,1/13/21,1179266,40192,112023,1027051,6061.954415,27918445,3.408221724,143513.2879
82,North Carolina,1/13/21,641073,7745,521475,111853,6112.393837,7766179,1.208130743,74047.64302
83,North Dakota,1/13/21,95135,1364,92029,1742,12483.89239,1287521,1.433752037,168952.2637
84,Ohio,1/13/21,799639,15343,656433,133325,6840.894509,8250980,1.235682602,70586.95708
85,Oklahoma,1/13/21,341820,2848,299375,39141,8626.901739,2889390,0.834300043,73020.24705
86,Oregon,1/13/21,129109,1708,5870,121531,3061.096507,2856686,1.322913197,67730.30182
87,Pennsylvania,1/13/21,746002,18412,556041,171549,5827.235127,8255043,2.468089898,32477.46112
88,Rhode Island,1/13/21,102485,2120,6101,94397,9674.228143,2199630,1.938820315,207637.4343
89,South Carolina,1/13/21,365378,5911,168440,191027,7096.490502,3535436,1.617776659,68666.38932
90,South Dakota,1/13/21,104195,1604,97829,4762,11777.98451,387299,1.539421277,43779.46757
91,Tennessee,1/13/21,665499,8148,588974,68377,9744.941336,6008119,1.224344439,87977.24293
92,Texas,1/13/21,2040751,31277,1612188,397286,7038.072063,15179088,1.532622059,52349.11814
93,Utah,1/13/21,314817,1449,257824,54945,9801.064144,2406992,0.46114481,75078.71282
94,Vermont,1/13/21,9368,158,6321,2889,1501.308517,771018,1.686592656,123562.7551
95,Virginia,1/13/21,412545,5552,33798,373195,4833.273759,4674630,1.34579258,54766.79274
96,Washington,1/13/21,281202,3838,,277364,3692.789905,4110647,1.364855158,53981.67775
97,West Virginia,1/13/21,104392,1671,74739,27982,5824.968599,1697113,1.600697371,94697.19839
98,Wisconsin,1/13/21,558020,5679,480112,72229,9583.96437,5674434,1.017705459,97458.10773
99,Wyoming,1/13/21,48289,522,45904,1863,8343.541958,537679,1.08099153,92902.05422
100,Alabama,1/14/21,414583,5945,221961,186677,8455.381553,1999693,1.433971002,40783.55192
101,Alaska,1/14/21,51185,228,7165,43764,6993.007949,1382276,0.445686807,188952.9694
