,date,location,total_vaccinations,people_fully_vaccinated
0,1/12/21,Alabama,78134,7270
49,1/13/21,Alabama,84040,9245
98,1/14/21,Alabama,92300,
147,1/15/21,Alabama,100567,13488
196,1/16/21,Alabama,,
245,1/17/21,Alabama,,
294,1/18/21,Alabama,,
343,1/19/21,Alabama,130795,16346
392,1/20/21,Alabama,139200,17956
441,1/21/21,Alabama,165919,21345
490,1/22/21,Alabama,199314,24840
539,1/23/21,Alabama,221540,27422
588,1/24/21,Alabama,243737,29736
637,1/25/21,Alabama,250612,29978
686,1/26/21,Alabama,254959,30933
735,1/27/21,Alabama,266444,33595
784,1/28/21,Alabama,278993,37431
833,1/29/21,Alabama,300915,44073
882,1/30/21,Alabama,342436,53742
931,1/31/21,Alabama,353974,55331
980,2/1/21,Alabama,358280,56308
1029,2/2/21,Alabama,371882,58825
1078,2/3/21,Alabama,388339,62990
1127,2/4/21,Alabama,408428,69155
1176,2/5/21,Alabama,430597,76603
1225,2/6/21,Alabama,455173,84278
1274,2/7/21,Alabama,462332,86141
1323,2/8/21,Alabama,467636,88453
1372,2/9/21,Alabama,490969,95033
1421,2/10/21,Alabama,515802,102520
1470,2/11/21,Alabama,543237,111036
1519,2/12/21,Alabama,571115,122019
1568,2/13/21,Alabama,601159,133029
1617,2/14/21,Alabama,612254,137032
1666,2/15/21,Alabama,,
1715,2/16/21,Alabama,636682,149288
1764,2/17/21,Alabama,650020,154341
1813,2/18/21,Alabama,672038,165104
1862,2/19/21,Alabama,739132,192304
1911,2/20/21,Alabama,776936,214512
1960,2/21/21,Alabama,788613,219639
2009,2/22/21,Alabama,793614,228101
2058,2/23/21,Alabama,815108,239425
2107,2/24/21,Alabama,839703,253615
2156,2/25/21,Alabama,864757,268465
2205,2/26/21,Alabama,893859,286095
2254,2/27/21,Alabama,931090,307868
2303,2/28/21,Alabama,942502,313290
2352,3/1/21,Alabama,948393,316073
2401,3/2/21,Alabama,972161,330046
2450,3/3/21,Alabama,1000031,346841
2499,3/4/21,Alabama,1032171,365456
2548,3/5/21,Alabama,1064578,383078
2597,3/6/21,Alabama,1099697,402061
2646,3/7/21,Alabama,1110132,406723
2695,3/8/21,Alabama,1116676,409937
2744,3/9/21,Alabama,1140984,420083
2793,3/10/21,Alabama,1173820,435018
2842,3/11/21,Alabama,1209802,452746
2891,3/12/21,Alabama,1249205,472325
2940,3/13/21,Alabama,1288242,492755
2989,3/14/21,Alabama,1298612,497653
3038,3/15/21,Alabama,1306419,501344
3087,3/16/21,Alabama,1332298,511869
3136,3/17/21,Alabama,1363987,523649
3185,3/18/21,Alabama,1390066,533375
3234,3/19/21,Alabama,1426696,547257
3283,3/20/21,Alabama,1460782,561254
3332,3/21/21,Alabama,1472666,566632
3381,3/22/21,Alabama,1479271,569127
3430,3/23/21,Alabama,1509445,579598
3479,3/24/21,Alabama,1542416,589979
3528,3/25/21,Alabama,1579091,600666
3577,3/26/21,Alabama,1611404,611694
3626,3/27/21,Alabama,1645858,623385
3675,3/28/21,Alabama,1659102,628500
3724,3/29/21,Alabama,1666585,631388
3773,3/30/21,Alabama,1697641,643450
3822,3/31/21,Alabama,1728736,656899
1,1/12/21,Alaska,35838,5400
50,1/13/21,Alaska,38680,6166
99,1/14/21,Alaska,42596,
148,1/15/21,Alaska,49039,9406
197,1/16/21,Alaska,,
246,1/17/21,Alaska,,
295,1/18/21,Alaska,,
344,1/19/21,Alaska,66331,10802
393,1/20/21,Alaska,68293,11283
442,1/21/21,Alaska,71907,12352
491,1/22/21,Alaska,81096,13718
540,1/23/21,Alaska,88344,15206
589,1/24/21,Alaska,94257,16201
638,1/25/21,Alaska,97031,16673
687,1/26/21,Alaska,98149,16815
736,1/27/21,Alaska,101597,18097
785,1/28/21,Alaska,105858,20045
834,1/29/21,Alaska,110396,21593
883,1/30/21,Alaska,115268,23320
932,1/31/21,Alaska,119590,24545
981,2/1/21,Alaska,122020,25467
1030,2/2/21,Alaska,123443,26207
1079,2/3/21,Alaska,125765,27528
1128,2/4/21,Alaska,129936,30172
1177,2/5/21,Alaska,134002,32593
1226,2/6/21,Alaska,139147,35773
1275,2/7/21,Alaska,146082,39541
1324,2/8/21,Alaska,150934,40812
1373,2/9/21,Alaska,152874,41698
1422,2/10/21,Alaska,156255,43552
1471,2/11/21,Alaska,162273,46006
1520,2/12/21,Alaska,167436,48969
1569,2/13/21,Alaska,175138,52380
1618,2/14/21,Alaska,183831,57117
1667,2/15/21,Alaska,,
1716,2/16/21,Alaska,191008,60964
1765,2/17/21,Alaska,193617,62474
1814,2/18/21,Alaska,199151,65245
1863,2/19/21,Alaska,216223,71892
1912,2/20/21,Alaska,227403,78623
1961,2/21/21,Alaska,235141,82272
2010,2/22/21,Alaska,238279,84131
2059,2/23/21,Alaska,239927,84746
2108,2/24/21,Alaska,243650,86836
2157,2/25/21,Alaska,249559,90214
2206,2/26/21,Alaska,254334,92233
2255,2/27/21,Alaska,259538,95331
2304,2/28/21,Alaska,264741,97554
2353,3/1/21,Alaska,268406,99916
2402,3/2/21,Alaska,269941,100902
2451,3/3/21,Alaska,273350,102382
2500,3/4/21,Alaska,276891,104129
2549,3/5/21,Alaska,281467,106558
2598,3/6/21,Alaska,288625,110053
2647,3/7/21,Alaska,295046,113787
2696,3/8/21,Alaska,298144,115635
2745,3/9/21,Alaska,302687,117345
2794,3/10/21,Alaska,307769,119073
2843,3/11/21,Alaska,313365,122197
2892,3/12/21,Alaska,318526,124170
2941,3/13/21,Alaska,324271,126647
2990,3/14/21,Alaska,333357,130857
3039,3/15/21,Alaska,337141,132532
3088,3/16/21,Alaska,339647,133907
3137,3/17/21,Alaska,345987,135810
3186,3/18/21,Alaska,351093,138464
3235,3/19/21,Alaska,356055,140169
3284,3/20/21,Alaska,362698,143349
3333,3/21/21,Alaska,372435,145975
3382,3/22/21,Alaska,375590,146903
3431,3/23/21,Alaska,376555,147214
3480,3/24/21,Alaska,379296,148725
3529,3/25/21,Alaska,384503,150980
3578,3/26/21,Alaska,389775,153706
3627,3/27/21,Alaska,395650,156698
3676,3/28/21,Alaska,401502,160197
3725,3/29/21,Alaska,403284,160932
3774,3/30/21,Alaska,404339,161504
3823,3/31/21,Alaska,407233,163100
2,1/12/21,Arizona,141355,8343
51,1/13/21,Arizona,154745,12392
100,1/14/21,Arizona,173665,
149,1/15/21,Arizona,197086,20837
198,1/16/21,Arizona,,
247,1/17/21,Arizona,,
296,1/18/21,Arizona,,
345,1/19/21,Arizona,266276,30892
394,1/20/21,Arizona,281887,34788
443,1/21/21,Arizona,303899,41613
492,1/22/21,Arizona,329349,48938
541,1/23/21,Arizona,360958,55014
590,1/24/21,Arizona,390623,58291
639,1/25/21,Arizona,413662,62711
688,1/26/21,Arizona,430892,64551
737,1/27/21,Arizona,458258,68846
786,1/28/21,Arizona,487149,73927
835,1/29/21,Arizona,521097,80773
884,1/30/21,Arizona,557369,86990
933,1/31/21,Arizona,594104,92666
982,2/1/21,Arizona,620608,95671
1031,2/2/21,Arizona,631662,96660
1080,2/3/21,Arizona,656040,102107
1129,2/4/21,Arizona,686116,111645
1178,2/5/21,Arizona,719458,121227
1227,2/6/21,Arizona,766788,136236
1276,2/7/21,Arizona,809230,151392
1325,2/8/21,Arizona,841018,161324
1374,2/9/21,Arizona,863807,166798
1423,2/10/21,Arizona,897757,177565
1472,2/11/21,Arizona,941575,192542
1521,2/12/21,Arizona,990296,207912
1570,2/13/21,Arizona,1041021,226158
1619,2/14/21,Arizona,1089155,244971
1668,2/15/21,Arizona,,
1717,2/16/21,Arizona,1154583,264416
1766,2/17/21,Arizona,1164900,267967
1815,2/18/21,Arizona,1202770,283955
1864,2/19/21,Arizona,1376405,335248
1913,2/20/21,Arizona,1425295,356055
1962,2/21/21,Arizona,1469676,376371
2011,2/22/21,Arizona,1506572,386775
2060,2/23/21,Arizona,1525794,393019
2109,2/24/21,Arizona,1555942,407127
2158,2/25/21,Arizona,1607544,432137
2207,2/26/21,Arizona,1671294,462074
2256,2/27/21,Arizona,1728239,490688
2305,2/28/21,Arizona,1792447,525426
2354,3/1/21,Arizona,1849259,555881
2403,3/2/21,Arizona,1889742,575562
2452,3/3/21,Arizona,1930999,601274
2501,3/4/21,Arizona,1979929,627446
2550,3/5/21,Arizona,2038623,658220
2599,3/6/21,Arizona,2043739,662235
2648,3/7/21,Arizona,2162602,715023
2697,3/8/21,Arizona,2215219,738410
2746,3/9/21,Arizona,2245854,750217
2795,3/10/21,Arizona,2293559,767107
2844,3/11/21,Arizona,2350374,792205
2893,3/12/21,Arizona,2418267,826020
2942,3/13/21,Arizona,2484603,858909
2991,3/14/21,Arizona,2557630,891501
3040,3/15/21,Arizona,2605621,913522
3089,3/16/21,Arizona,2655283,939580
3138,3/17/21,Arizona,2697523,955402
3187,3/18/21,Arizona,2755436,978991
3236,3/19/21,Arizona,2760907,981650
3285,3/20/21,Arizona,2825939,1004408
3334,3/21/21,Arizona,2893024,1029376
3383,3/22/21,Arizona,2942907,1049219
3432,3/23/21,Arizona,2970577,1059558
3481,3/24/21,Arizona,3010048,1074666
3530,3/25/21,Arizona,3106598,1108397
3579,3/26/21,Arizona,3169061,1129146
3628,3/27/21,Arizona,3239538,1154039
3677,3/28/21,Arizona,3308671,1182684
3726,3/29/21,Arizona,3363062,1205521
3775,3/30/21,Arizona,3399399,1220787
3824,3/31/21,Arizona,3451567,1242599
3,1/12/21,Arkansas,40879,8
52,1/13/21,Arkansas,94854,12849
101,1/14/21,Arkansas,108316,
150,1/15/21,Arkansas,118338,18781
199,1/16/21,Arkansas,,
248,1/17/21,Arkansas,,
297,1/18/21,Arkansas,,
346,1/19/21,Arkansas,142337,21734
395,1/20/21,Arkansas,173312,26541
444,1/21/21,Arkansas,173312,26541
493,1/22/21,Arkansas,201676,31600
542,1/23/21,Arkansas,201676,31600
591,1/24/21,Arkansas,214240,32572
640,1/25/21,Arkansas,221095,33159
689,1/26/21,Arkansas,236290,37055
738,1/27/21,Arkansas,252824,40910
787,1/28/21,Arkansas,252824,40910
836,1/29/21,Arkansas,269993,45918
885,1/30/21,Arkansas,288651,52118
934,1/31/21,Arkansas,303793,56264
983,2/1/21,Arkansas,311230,58613
1032,2/2/21,Arkansas,314470,59903
1081,2/3/21,Arkansas,322447,63356
1130,2/4/21,Arkansas,338227,68778
1179,2/5/21,Arkansas,351175,73810
1228,2/6/21,Arkansas,374674,81564
1277,2/7/21,Arkansas,393445,90308
1326,2/8/21,Arkansas,401664,94058
1375,2/9/21,Arkansas,404127,95202
1424,2/10/21,Arkansas,418054,103669
1473,2/11/21,Arkansas,430803,110751
1522,2/12/21,Arkansas,447146,118465
1571,2/13/21,Arkansas,457386,124040
